,Abusive,Authentic,Charismatic,Empowering,Ethical,Instrumental,Servant,Transformational
Abusive,1.0000001,0.21176821,0.3106478,0.35456347,0.3966241,0.24724723,0.39014903,0.25852093
Authentic,0.21176821,1.0000001,0.7404127,0.6369988,0.7952515,0.6045094,0.7466253,0.7438212
Charismatic,0.3106478,0.7404127,1.0000001,0.73616457,0.81119925,0.7371168,0.798068,0.778402
Empowering,0.35456347,0.6369988,0.73616457,1.0000001,0.7981727,0.8262208,0.827907,0.8173841
Ethical,0.3966241,0.7952515,0.81119925,0.7981727,0.99999976,0.73568565,0.8235638,0.7945441
Instrumental,0.24724723,0.6045094,0.7371168,0.8262208,0.73568565,0.9999998,0.73314905,0.8079024
Servant,0.39014903,0.7466253,0.798068,0.827907,0.8235638,0.73314905,0.9999999,0.83187735
Transformational,0.25852093,0.7438212,0.778402,0.8173841,0.7945441,0.8079024,0.83187735,1.0
